Epoch,TrainAccuracy,TrainLoss,ValAccuracy,ValLoss
0,99.39622641509433,0.03199880179394064,93.07875894988067,0.2348288213274621
1,98.64150943396227,0.05582967723131403,90.9307875894988,0.25198737969637935
2,98.79245283018868,0.04961675876544383,90.9307875894988,0.24858901680873616
3,99.09433962264151,0.04479873109353761,91.40811455847255,0.2488010801282509
4,99.16981132075472,0.04104683119015295,91.8854415274463,0.24613004294572366
5,99.47169811320755,0.03927706545203651,92.60143198090692,0.23800424805649312
6,99.39622641509433,0.03557651984059701,92.12410501193317,0.24355674749984463
7,99.54716981132076,0.03339192255605852,92.36276849642005,0.23743634962132595
8,99.62264150943396,0.03148737435071059,92.60143198090692,0.23636494333912095
9,99.84905660377359,0.029893226724698022,92.36276849642005,0.23589165834363796
10,99.84905660377359,0.02840473326526254,92.60143198090692,0.23784834097226293
11,99.84905660377359,0.027115682443349443,92.60143198090692,0.237587475900575
12,99.84905660377359,0.025960496190920557,92.8400954653938,0.23703574778232336
13,99.84905660377359,0.02490122777567766,92.8400954653938,0.23799434966941066
14,99.84905660377359,0.02428786404847451,92.36276849642005,0.24191629061821193
15,99.84905660377359,0.023663044314222934,92.8400954653938,0.2458296689859792
16,99.84905660377359,0.022214534527873572,93.07875894988067,0.24018169416947613
17,99.84905660377359,0.021400949370675156,93.07875894988067,0.24007630360265825
18,99.84905660377359,0.020756825939386936,92.8400954653938,0.23698546728746397
19,99.9245283018868,0.02001303977560053,93.07875894988067,0.2377353489094577
20,99.9245283018868,0.01938379545220341,93.07875894988067,0.23755132768480341
21,99.9245283018868,0.019009777774474254,93.31742243436754,0.23543364670405073
22,99.9245283018868,0.018286988758382503,93.31742243436754,0.23666086849718537
23,99.9245283018868,0.017746643638323942,92.8400954653938,0.23797916697973906
24,99.9245283018868,0.017350539151637645,93.55608591885442,0.23755598906822406
25,99.9245283018868,0.01681456272250863,93.31742243436754,0.23941221775248017
